Timestamp,X,Y,Z
22-May-2021 11:42:59.172,1.38,41.399998,-54.719997
22-May-2021 11:42:59.187,1.08,41.399998,-54.84
22-May-2021 11:42:59.202,1.2,41.16,-55.079998
22-May-2021 11:42:59.217,1.08,40.619999,-54.959999
22-May-2021 11:42:59.232,1.08,40.32,-54.779999
22-May-2021 11:42:59.247,1.02,40.139999,-54.419998
22-May-2021 11:42:59.262,0.6,39.719997,-53.699997
22-May-2021 11:42:59.277,0.48,39.66,-53.939999
22-May-2021 11:42:59.292,-0.06,39.66,-54.299999
22-May-2021 11:42:59.307,-0.78,39.299999,-54.48
22-May-2021 11:42:59.322,-0.9,39,-54.959999
22-May-2021 11:42:59.337,-1.44,38.700001,-55.079998
22-May-2021 11:42:59.352,-2.34,38.040001,-55.139999
22-May-2021 11:42:59.367,-2.7,37.799999,-55.439999
22-May-2021 11:42:59.382,-3.66,37.68,-55.739998
22-May-2021 11:42:59.397,-4.44,37.079998,-56.039997
22-May-2021 11:42:59.412,-4.92,36.299999,-55.379997
22-May-2021 11:42:59.427,-5.1,35.52,-55.139999
22-May-2021 11:42:59.442,-5.46,34.98,-54.84
22-May-2021 11:42:59.457,-6,34.139999,-54.719997
22-May-2021 11:42:59.472,-6.12,33.599998,-55.079998
22-May-2021 11:42:59.487,-6.78,33.119999,-54.419998
22-May-2021 11:42:59.502,-7.14,32.099998,-54.299999
22-May-2021 11:42:59.517,-7.14,31.379999,-54
22-May-2021 11:42:59.532,-7.56,30.9,-53.52
22-May-2021 11:42:59.547,-8.46,30.42,-53.579998
22-May-2021 11:42:59.562,-8.88,30.059999,-53.459999
22-May-2021 11:42:59.577,-9.36,29.639999,-53.039997
22-May-2021 11:42:59.592,-9.42,29.58,-53.459999
22-May-2021 11:42:59.607,-9.24,28.439999,-53.879997
22-May-2021 11:42:59.622,-9.3,27.539999,-54.059998
22-May-2021 11:42:59.637,-9.66,27.48,-54.66
22-May-2021 11:42:59.652,-10.679999,26.34,-54.48
22-May-2021 11:42:59.667,-11.099999,26.16,-54.18
22-May-2021 11:42:59.682,-11.4,25.98,-53.639999
22-May-2021 11:42:59.697,-11.34,25.439999,-52.68
22-May-2021 11:42:59.712,-11.219999,25.32,-52.559998
22-May-2021 11:42:59.727,-11.219999,24.9,-52.259998
22-May-2021 11:42:59.742,-11.639999,24.18,-52.02
22-May-2021 11:42:59.757,-12.599999,23.459999,-52.02
22-May-2021 11:42:59.772,-12.84,22.5,-51.48
22-May-2021 11:42:59.787,-12.84,21.059999,-51.18
22-May-2021 11:42:59.802,-12.9,20.16,-51.599998
22-May-2021 11:42:59.817,-13.02,19.139999,-51.84
22-May-2021 11:42:59.832,-13.139999,18.18,-52.199997
22-May-2021 11:42:59.847,-13.62,17.58,-52.919998
22-May-2021 11:42:59.862,-13.74,16.440001,-52.98
22-May-2021 11:42:59.877,-13.559999,15.12,-53.579998
22-May-2021 11:42:59.892,-13.5,14.46,-54
22-May-2021 11:42:59.907,-13.74,13.32,-53.82
22-May-2021 11:42:59.922,-13.679999,12.3,-54.059998
22-May-2021 11:42:59.937,-14.04,11.28,-54.18
22-May-2021 11:42:59.952,-13.98,9.78,-54.299999
22-May-2021 11:42:59.967,-13.86,8.82,-54.48
22-May-2021 11:42:59.982,-13.679999,7.8,-54.239998
22-May-2021 11:42:59.997,-13.38,7.14,-53.82
22-May-2021 11:43:00.012,-13.259999,6.78,-53.279999
22-May-2021 11:43:00.027,-13.02,6.18,-53.16
22-May-2021 11:43:00.042,-13.2,5.58,-53.34
22-May-2021 11:43:00.057,-12.96,5.1,-53.16
22-May-2021 11:43:00.072,-13.08,4.14,-53.459999
22-May-2021 11:43:00.087,-12.84,3.72,-53.579998
22-May-2021 11:43:00.102,-12.36,3.18,-53.039997
22-May-2021 11:43:00.117,-12.36,2.46,-53.16
22-May-2021 11:43:00.132,-11.88,2.1,-53.399998
22-May-2021 11:43:00.147,-11.7,1.74,-53.699997
22-May-2021 11:43:00.162,-12.12,1.5,-54
22-May-2021 11:43:00.177,-12.059999,1.44,-54.059998
22-May-2021 11:43:00.192,-12,1.44,-53.82
22-May-2021 11:43:00.207,-12.3,1.08,-53.699997
22-May-2021 11:43:00.222,-12.36,1.08,-54
22-May-2021 11:43:00.237,-12.42,0.84,-53.82
22-May-2021 11:43:00.252,-12.12,0.72,-53.399998
22-May-2021 11:43:00.267,-12.059999,0.72,-53.279999
22-May-2021 11:43:00.282,-11.7,0.84,-53.52
22-May-2021 11:43:00.297,-11.639999,0.54,-54.360001
22-May-2021 11:43:00.312,-12.3,0.18,-54.539997
22-May-2021 11:43:00.327,-12.48,0.18,-54.719997
22-May-2021 11:43:00.342,-12.24,0.06,-54.119999
22-May-2021 11:43:00.357,-12.12,0.12,-52.559998
22-May-2021 11:43:00.372,-12.3,0.48,-52.379997
22-May-2021 11:43:00.387,-12.48,0.54,-52.199997
22-May-2021 11:43:00.402,-12.24,0.48,-52.559998
22-May-2021 11:43:00.417,-12.36,0.54,-53.579998
22-May-2021 11:43:00.432,-11.94,0.36,-54.360001
22-May-2021 11:43:00.447,-11.4,0.36,-54.239998
22-May-2021 11:43:00.462,-12.36,0.6,-54.119999
22-May-2021 11:43:00.477,-12.36,0.84,-53.82
22-May-2021 11:43:00.492,-12.48,1.2,-52.98
22-May-2021 11:43:00.507,-12.719999,1.14,-52.559998
22-May-2021 11:43:00.522,-12.36,0.9,-52.079998
22-May-2021 11:43:00.537,-12.54,1.14,-51.360001
22-May-2021 11:43:00.552,-12.54,1.2,-51.119999
22-May-2021 11:43:00.567,-12.66,1.44,-51.539997
22-May-2021 11:43:00.582,-12.42,1.86,-52.02
22-May-2021 11:43:00.597,-12.24,2.22,-52.559998
22-May-2021 11:43:00.612,-12.059999,2.16,-53.16
22-May-2021 11:43:00.627,-12.12,2.58,-53.399998
22-May-2021 11:43:00.642,-12.3,2.7,-53.34
22-May-2021 11:43:00.657,-12.179999,2.52,-53.639999
22-May-2021 11:43:00.672,-12.36,2.28,-53.759998
22-May-2021 11:43:00.687,-12.66,1.8,-53.579998
22-May-2021 11:43:00.702,-12.9,2.22,-54
22-May-2021 11:43:00.717,-12.9,2.04,-53.939999
22-May-2021 11:43:00.732,-13.2,2.46,-53.759998
22-May-2021 11:43:00.747,-12.96,2.64,-53.639999
22-May-2021 11:43:00.762,-12.66,2.7,-53.52
22-May-2021 11:43:00.777,-12.78,3,-53.16
22-May-2021 11:43:00.792,-12.36,3.3,-53.039997
22-May-2021 11:43:00.807,-12.36,3.72,-53.039997
22-May-2021 11:43:00.822,-12.78,3.3,-53.219997
22-May-2021 11:43:00.837,-13.259999,3.36,-53.759998
22-May-2021 11:43:00.852,-13.139999,3.24,-54.119999
22-May-2021 11:43:00.867,-13.08,2.82,-54.48
22-May-2021 11:43:00.882,-12.96,2.82,-54.419998
22-May-2021 11:43:00.897,-12.599999,2.76,-54.419998
22-May-2021 11:43:00.912,-12.78,2.88,-54
22-May-2021 11:43:00.927,-12.48,3.6,-53.82
22-May-2021 11:43:00.942,-12.66,4.14,-53.639999
22-May-2021 11:43:00.957,-12.719999,4.38,-53.16
